media,zipcode,visits_data
ELCAFEDEPIPA.COM,12600.0,"{'browser_uniques': {'1_Month': '2.063', 'daily_avg': '93', 'mon_fri_avg': '94', 'sat_sun_avg': '89', 'pages_per_visit': '1,23', 'avg_visit_duration': '0:01:29', 'avg_interaction_time': '0:00:56'}, 'visits': {'1_Month': '3.133', 'daily_avg': '101', 'mon_fri_avg': '104', 'sat_sun_avg': '93'}, 'pages': {'1_Month': '3.841', 'daily_avg': '124', 'mon_fri_avg': '130', 'sat_sun_avg': '106'}}"
ELDIARIO.ES - COMUNIDAD VALENCIANA,28028.0,"{'browser_uniques': {'1_Month': '1.497.721', 'daily_avg': '78.478', 'mon_fri_avg': '87.654', 'sat_sun_avg': '52.097', 'pages_per_visit': '1,15', 'avg_visit_duration': '0:01:23', 'avg_interaction_time': '0:01:03'}, 'visits': {'1_Month': '2.669.512', 'daily_avg': '86.113', 'mon_fri_avg': '96.581', 'sat_sun_avg': '56.020'}, 'pages': {'1_Month': '3.057.940', 'daily_avg': '98.643', 'mon_fri_avg': '111.239', 'sat_sun_avg': '62.430'}}"
ELDIARIO.ES - LA MARINA PLAZA,28028.0,"{'browser_uniques': {'1_Month': '145.744', 'daily_avg': '8.368', 'mon_fri_avg': '8.784', 'sat_sun_avg': '7.173', 'pages_per_visit': '1,43', 'avg_visit_duration': '0:01:50', 'avg_interaction_time': '0:01:52'}, 'visits': {'1_Month': '313.051', 'daily_avg': '10.098', 'mon_fri_avg': '10.671', 'sat_sun_avg': '8.453'}, 'pages': {'1_Month': '448.377', 'daily_avg': '14.464', 'mon_fri_avg': '15.314', 'sat_sun_avg': '12.019'}}"
ELMERIDIANO.ES,46023.0,"{'browser_uniques': {'1_Month': '54.814', 'daily_avg': '1.950', 'mon_fri_avg': '2.317', 'sat_sun_avg': '894', 'pages_per_visit': '1,40', 'avg_visit_duration': '0:01:18', 'avg_interaction_time': '0:00:35'}, 'visits': {'1_Month': '66.988', 'daily_avg': '2.161', 'mon_fri_avg': '2.576', 'sat_sun_avg': '967'}, 'pages': {'1_Month': '94.064', 'daily_avg': '3.034', 'mon_fri_avg': '3.619', 'sat_sun_avg': '1.354'}}"
ELNOSTRECIUTAT.COM,3801.0,"{'browser_uniques': {'1_Month': '72.842', 'daily_avg': '2.436', 'mon_fri_avg': '2.352', 'sat_sun_avg': '2.678', 'pages_per_visit': '1,13', 'avg_visit_duration': '0:00:57', 'avg_interaction_time': '0:00:28'}, 'visits': {'1_Month': '78.625', 'daily_avg': '2.536', 'mon_fri_avg': '2.447', 'sat_sun_avg': '2.792'}, 'pages': {'1_Month': '88.473', 'daily_avg': '2.854', 'mon_fri_avg': '2.759', 'sat_sun_avg': '3.128'}}"
ELPERIODIC.COM,12530.0,"{'browser_uniques': {'1_Month': '599.931', 'daily_avg': '28.439', 'mon_fri_avg': '31.468', 'sat_sun_avg': '19.729', 'pages_per_visit': '2,95', 'avg_visit_duration': '0:02:58', 'avg_interaction_time': '0:01:39'}, 'visits': {'1_Month': '1.000.185', 'daily_avg': '32.264', 'mon_fri_avg': '35.872', 'sat_sun_avg': '21.890'}, 'pages': {'1_Month': '2.949.600', 'daily_avg': '95.148', 'mon_fri_avg': '101.846', 'sat_sun_avg': '75.893'}}"
ELPERIODICODEAQUI.COM,46017.0,"{'browser_uniques': {'1_Month': '172.984', 'daily_avg': '6.699', 'mon_fri_avg': '6.784', 'sat_sun_avg': '6.452', 'pages_per_visit': '1,54', 'avg_visit_duration': '0:01:29', 'avg_interaction_time': '0:00:48'}, 'visits': {'1_Month': '233.407', 'daily_avg': '7.529', 'mon_fri_avg': '7.713', 'sat_sun_avg': '7.000'}, 'pages': {'1_Month': '359.560', 'daily_avg': '11.599', 'mon_fri_avg': '12.241', 'sat_sun_avg': '9.753'}}"
ELPERIODICOMEDITERRANEO.COM,12005.0,"{'browser_uniques': {'1_Month': '2.793.436', 'daily_avg': '162.163', 'mon_fri_avg': '168.469', 'sat_sun_avg': '144.031', 'pages_per_visit': '1,62', 'avg_visit_duration': '0:02:37', 'avg_interaction_time': '0:02:21'}, 'visits': {'1_Month': '6.413.182', 'daily_avg': '206.877', 'mon_fri_avg': '214.332', 'sat_sun_avg': '185.443'}, 'pages': {'1_Month': '10.380.245', 'daily_avg': '334.847', 'mon_fri_avg': '348.981', 'sat_sun_avg': '294.209'}}"
ELPERIODICVALENCIA.COM,46600.0,"{'browser_uniques': {'1_Month': '1.599', 'daily_avg': '57', 'mon_fri_avg': '67', 'sat_sun_avg': '31', 'pages_per_visit': '1,32', 'avg_visit_duration': '0:01:36', 'avg_interaction_time': '0:00:42'}, 'visits': {'1_Month': '1.907', 'daily_avg': '62', 'mon_fri_avg': '71', 'sat_sun_avg': '34'}, 'pages': {'1_Month': '2.517', 'daily_avg': '81', 'mon_fri_avg': '94', 'sat_sun_avg': '43'}}"
ELTEMPS.CAT,46001.0,"{'browser_uniques': {'1_Month': '41.473', 'daily_avg': '1.838', 'mon_fri_avg': '1.863', 'sat_sun_avg': '1.765', 'pages_per_visit': '1,55', 'avg_visit_duration': '0:03:50', 'avg_interaction_time': '0:03:00'}, 'visits': {'1_Month': '66.795', 'daily_avg': '2.155', 'mon_fri_avg': '2.194', 'sat_sun_avg': '2.043'}, 'pages': {'1_Month': '103.678', 'daily_avg': '3.344', 'mon_fri_avg': '3.468', 'sat_sun_avg': '2.990'}}"
EMISORASMUSICALES.NET,3204.0,"{'browser_uniques': {'1_Month': '50.417', 'daily_avg': '4.694', 'mon_fri_avg': '5.188', 'sat_sun_avg': '3.273', 'pages_per_visit': '1,24', 'avg_visit_duration': '0:02:47', 'avg_interaction_time': '0:01:35'}, 'visits': {'1_Month': '268.384', 'daily_avg': '8.658', 'mon_fri_avg': '9.728', 'sat_sun_avg': '5.579'}, 'pages': {'1_Month': '332.327', 'daily_avg': '10.720', 'mon_fri_avg': '11.889', 'sat_sun_avg': '7.360'}}"
