ID,Origin,media,url,zipcode_iber,zipcode_cac
245,"AMIC, OJD",diarilaveu,diarilaveu.cat (nosaltreslaveu.com),,
247,"AMIC, OJD",elperiodic,elperiodic.ad,,
248,"Iberfier, OJD",el punt avui,elpuntavui.cat,17005.0,
251,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25140.0
252,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,43786.0
253,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25250.0
254,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,17867.0
255,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8261.0
256,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8758.0
257,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8950.0
258,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,17489.0
259,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,8589.0
260,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25740.0
261,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25670.0
262,"AMIC, Iberfier, CAC",aquí berguedà,,8600.0,25141.0
275,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25140.0
276,"AMIC, Iberfier, CAC",anoia diari,,8700.0,43786.0
277,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25250.0
278,"AMIC, Iberfier, CAC",anoia diari,,8700.0,17867.0
279,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8261.0
280,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8758.0
281,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8950.0
282,"AMIC, Iberfier, CAC",anoia diari,,8700.0,17489.0
283,"AMIC, Iberfier, CAC",anoia diari,,8700.0,8589.0
284,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25740.0
285,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25670.0
286,"AMIC, Iberfier, CAC",anoia diari,,8700.0,25141.0
287,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25140.0
288,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,43786.0
289,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25250.0
290,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,17867.0
291,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8261.0
292,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8758.0
293,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8950.0
294,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,17489.0
295,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,8589.0
296,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25740.0
297,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25670.0
298,"AMIC, Iberfier, CAC",catalunya religió,,8025.0,25141.0
299,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,25140.0
300,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,43786.0
301,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,25250.0
302,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,17867.0
303,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,8261.0
304,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,8758.0
305,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,8950.0
306,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,17489.0
307,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,8589.0
308,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,25740.0
309,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,25670.0
310,"AMIC, Iberfier, CAC",cerdanyola al dia,,8290.0,25141.0
311,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,25140.0
312,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,43786.0
313,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,25250.0
314,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,17867.0
315,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,8261.0
316,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,8758.0
317,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,8950.0
318,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,17489.0
319,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,8589.0
320,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,25740.0
321,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,25670.0
322,"AMIC, Iberfier, CAC",comarques de ponent,,25300.0,25141.0
323,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,25140.0
324,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,43786.0
325,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,25250.0
326,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,17867.0
327,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,8261.0
328,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,8758.0
329,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,8950.0
330,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,17489.0
331,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,8589.0
332,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,25740.0
333,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,25670.0
334,"AMIC, Iberfier, CAC",cop d'ull,,43500.0,25141.0
335,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,25140.0
336,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,43786.0
337,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,25250.0
338,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,17867.0
339,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,8261.0
340,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,8758.0
341,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,8950.0
342,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,17489.0
343,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,8589.0
344,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,25740.0
345,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,25670.0
346,"AMIC, Iberfier, CAC",diari més ebre,,43500.0,25141.0
347,"AMIC, Iberfier, CAC",el cargol,,8720.0,25140.0
348,"AMIC, Iberfier, CAC",el cargol,,8720.0,43786.0
349,"AMIC, Iberfier, CAC",el cargol,,8720.0,25250.0
350,"AMIC, Iberfier, CAC",el cargol,,8720.0,17867.0
351,"AMIC, Iberfier, CAC",el cargol,,8720.0,8261.0
352,"AMIC, Iberfier, CAC",el cargol,,8720.0,8758.0
353,"AMIC, Iberfier, CAC",el cargol,,8720.0,8950.0
354,"AMIC, Iberfier, CAC",el cargol,,8720.0,17489.0
355,"AMIC, Iberfier, CAC",el cargol,,8720.0,8589.0
356,"AMIC, Iberfier, CAC",el cargol,,8720.0,25740.0
357,"AMIC, Iberfier, CAC",el cargol,,8720.0,25670.0
358,"AMIC, Iberfier, CAC",el cargol,,8720.0,25141.0
359,"AMIC, Iberfier, CAC",la clau,,8340.0,25140.0
360,"AMIC, Iberfier, CAC",la clau,,8340.0,43786.0
361,"AMIC, Iberfier, CAC",la clau,,8340.0,25250.0
362,"AMIC, Iberfier, CAC",la clau,,8340.0,17867.0
363,"AMIC, Iberfier, CAC",la clau,,8340.0,8261.0
364,"AMIC, Iberfier, CAC",la clau,,8340.0,8758.0
365,"AMIC, Iberfier, CAC",la clau,,8340.0,8950.0
366,"AMIC, Iberfier, CAC",la clau,,8340.0,17489.0
367,"AMIC, Iberfier, CAC",la clau,,8340.0,8589.0
368,"AMIC, Iberfier, CAC",la clau,,8340.0,25740.0
369,"AMIC, Iberfier, CAC",la clau,,8340.0,25670.0
370,"AMIC, Iberfier, CAC",la clau,,8340.0,25141.0
371,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,25140.0
372,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,43786.0
373,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,25250.0
374,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,17867.0
375,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,8261.0
376,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,8758.0
377,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,8950.0
378,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,17489.0
379,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,8589.0
380,"AMIC, Iberfier, CAC",la premsa del baix,,8950.0,25740.0
