media,area_of_influence,ojd,url,CCAA,PROV,AREA,platform,PGD,distribution,Origin,active_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber,type_media_cac,address_cac,lat_cac,lng_cac,zipcode_cac,classification_ojd,sub_classification_ojd,unique_visitors_ojd
radiocapital,Baix Empordà,no OJD,radiocapital.cat,CAT,GI,,digital,,,"AMIC, Iberfier, OJD",True,"Carrer de Santa Margarida, 17200 Palafrugell, Girona",17200,41.9160255,3.1648139,"web, radio",Girona,CAT,,,,,,Entreteniment,Broadcast,655.0
lamira,Catalunya,OJD,lamira.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"C. d'Alí Bei, 25 1r 2a - 08010 Barcelona",8010,41.3919606,2.1781466,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,412.0
enderrock,Catalunya,no OJD,enderrock.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Muntaner, 477, bxs. 2a · 08021 Barcelona",8021,41.4024199,2.1382879,"print, web",Barcelona,CAT,,,,,,Entreteniment,Música,2344.0
enderrock,Catalunya,no OJD,enderrock.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True," Muntaner, 477, bxs. 2a · 08021 Barcelona",8021,41.4024199,2.1382879,"web, print",Barcelona,CAT,,,,,,Entreteniment,Música,2344.0
socpetit,Catalunya,OJD,socpetit.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Rovira, 43 43713 Sant Jaume dels Domenys (Tarragona)",43712,41.300419,1.5715951,web,Tarragona,CAT,,,,,,Família i estil de vida,Recursos familiars,879.0
diaritreball,Catalunya,OJD,diaritreball.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Josep Tarradellas 13, entresòl 2a, 08029 – Barcelona",8029,41.3820369,2.1418786,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,17.0
diaritreball,Catalunya,OJD,diaritreball.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Passatge Tona, nº 10. 08023, Barcelona",8023,41.4160571,2.1455425,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,17.0
timeout,Catalunya,no OJD,timeout.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Laietana 20, Barcelona, 08003",8003,41.3840362,2.1791261,"print, web, app",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,19224.0
diarisanitat,Catalunya,OJD,diarisanitat.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Bailén 5, 08010. 08010, Barcelona.",8010,41.3914436,2.1774214,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies d'interès especial,60.0
racocatala,Catalunya,OJD,racocatala.cat,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"ORTIGOSA 14, 5è 3a 08010 - BARCELONA.",8010,41.3885641,2.1759677,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,8017.0
panxing,"Cerdanya,Bergueda, Maresme, i pirineus",OJD,panxing.net,CAT,CAT,,digital,,,"AMIC, Iberfier, OJD",True,"Carrer Mestre Enric Morera, 25, 08339 Vilassar de Dalt, Barcelona",8339,41.5074922,2.3623045,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Directoris/Guies locals,262.0
loclar,Pais Valencià,,loclar.es,PV,PV,V,digital,,,"AMIC, Iberfier, OJD",True,"Dos de Mayo, 70 - Ontinyent 46870 (Valencia)",46870,38.8223464,-0.6056842,"web, print",Alicante/Alacant,PV,,,,,,Noticias e Información,Noticias globales y actualidad,3656.0
dbalears,Illes Balears,,dbalears.cat,IB,IB,,digital,,,"AMIC, Iberfier, OJD",True,"Carrer de Sant Alonso, 24. Palma 07001",7001,39.5666236,2.6526021,"web, print",Illes Balears,IB,,,,,,Noticias e Información,Noticias globales y actualidad,5005.0
